ID,Name,Gender,Qualification,,
1,"""Mark P. O. Morford""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (1, ""Mark P. O. Morford"", ""M"" , ""PhD"" );"
2,"""Richard Bruce Wright""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (2, ""Richard Bruce Wright"", ""M"" , ""PhD"" );"
3,"""Carlo D'Este""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (3, ""Carlo D'Este"", ""M"" , ""PhD"" );"
4,"""Gina Bari Kolata""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (4, ""Gina Bari Kolata"", ""M"" , ""PhD"" );"
5,"""E. J. W. Barber""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (5, ""E. J. W. Barber"", ""M"" , ""PhD"" );"
6,"""Amy Tan""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (6, ""Amy Tan"", ""M"" , ""PhD"" );"
7,"""Robert Cowley""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (7, ""Robert Cowley"", ""M"" , ""PhD"" );"
8,"""Scott Turow""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (8, ""Scott Turow"", ""M"" , ""PhD"" );"
9,"""David Cordingly""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (9, ""David Cordingly"", ""M"" , ""PhD"" );"
10,"""Ann Beattie""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (10, ""Ann Beattie"", ""M"" , ""PhD"" );"
11,"""David Adams Richards""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (11, ""David Adams Richards"", ""M"" , ""PhD"" );"
12,"""Adam Lebor""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (12, ""Adam Lebor"", ""M"" , ""PhD"" );"
13,"""Sheila Heti""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (13, ""Sheila Heti"", ""M"" , ""PhD"" );"
14,"""R. J. Kaiser""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (14, ""R. J. Kaiser"", ""M"" , ""PhD"" );"
15,"""Jack Canfield""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (15, ""Jack Canfield"", ""M"" , ""PhD"" );"
16,"""Loren D. Estleman""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (16, ""Loren D. Estleman"", ""M"" , ""PhD"" );"
17,"""Robert Hendrickson""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (17, ""Robert Hendrickson"", ""M"" , ""PhD"" );"
18,"""Julia Oliver""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (18, ""Julia Oliver"", ""M"" , ""PhD"" );"
19,"""John Grisham""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (19, ""John Grisham"", ""M"" , ""PhD"" );"
20,"""Toni Morrison""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (20, ""Toni Morrison"", ""M"" , ""PhD"" );"
21,"""The Onion""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (21, ""The Onion"", ""M"" , ""PhD"" );"
22,"""Celia Brooks Brown""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (22, ""Celia Brooks Brown"", ""M"" , ""PhD"" );"
23,"""J. R. Parrish""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (23, ""J. R. Parrish"", ""M"" , ""PhD"" );"
24,"""Mary-Kate &amp; Ashley Olsen""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (24, ""Mary-Kate &amp; Ashley Olsen"", ""M"" , ""PhD"" );"
25,"""Robynn Clairday""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (25, ""Robynn Clairday"", ""M"" , ""PhD"" );"
26,"""Kathleen Duey""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (26, ""Kathleen Duey"", ""M"" , ""PhD"" );"
